"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000088478",0.684039401691295,-0.147836287897304,2.91356328502582,-0.0507407162415537,0.959532131550581,NA
"ENSMUSG00000075604",2.86216028506566,0,4.40735632392433,0,1,NA
"ENSMUSG00000064634",5.26118995039998,-0.0756796197947572,0.923983955941228,-0.0819057726144879,0.934721643983251,NA
"ENSMUSG00000107157",0.420701959504412,-0.163641880192368,3.96318888960954,-0.0412904569402166,0.967064340842333,NA
"ENSMUSG00000107155",1.50675493654386,-2.43663639143587,1.84875145127048,-1.31799025215715,0.187506911081514,NA
"ENSMUSG00000107151",0.178412678667465,0.798125500346329,4.40735632396697,0.181089397289292,0.8562974067477,NA
"ENSMUSG00000095250",0.248076713857203,1.78753341881631,4.36086020914957,0.409903856827575,0.681876476039826,NA
"ENSMUSG00000092617",0.761134536272039,-0.162878483777618,1.74899710383349,-0.0931267887297339,0.925802835581625,NA
"ENSMUSG00000109640",1.14315167242532,1.41916781340807,2.04802629804482,0.692944135904362,0.48834461026138,NA
"ENSMUSG00000109642",0.603111961081533,1.72831495297296,4.36555895721514,0.395897746408052,0.692180463634012,NA
"ENSMUSG00000113315",1.08587365975232,0.408578368796107,2.09123825509528,0.195376288569994,0.845098377888656,NA
"ENSMUSG00000113318",2.58012020720576,-0.800482908257734,1.65844415583593,-0.482671005496868,0.629329353595807,NA
"ENSMUSG00000111228",0.608172733205198,-3.02402316523665,2.44177116266541,-1.23845477883999,0.215547479825547,NA
"ENSMUSG00000111224",0.182135097808659,1.84492658959985,4.35648179472873,0.423490026248286,0.671937773905089,NA
"ENSMUSG00000101414",0.638194590966955,1.72604987047244,3.46520069751752,0.498109639568346,0.618406766629174,NA
"ENSMUSG00000048794",4.74634196550004,-0.166467325601922,1.74964634680241,-0.0951434133567344,0.924200915584822,NA
"ENSMUSG00000097671",2.70322941564846,4.6046612036466,2.06791533251193,2.22671650587031,0.0259662265825341,NA
"ENSMUSG00000119011",1.15360279869265,0.864468158123228,2.36518608834542,0.365496889391892,0.714740528354536,NA
"ENSMUSG00000112047",0.0841811848548722,0,4.40735632396697,0,1,NA
"ENSMUSG00000050232",3.56155376028705,1.14199220832556,1.45861396920154,0.782929707543316,0.433668391140935,NA
"ENSMUSG00000093562",0.538227421627859,-2.07610660419626,3.6513490299048,-0.568586182036503,0.569637004354,NA
"ENSMUSG00000108276",0.450164163006783,0,4.40735632393407,0,1,NA
"ENSMUSG00000108271",3.08654246354282,3.18018372003368,1.64633697851595,1.93167241065094,0.053399952128452,NA
"ENSMUSG00000110574",0.165719029799527,-1.12540249642745,4.40735632396697,-0.255346383115786,0.79845557841062,NA
"ENSMUSG00000118768",1.49934938315762,0.174193529223518,1.30353036077918,0.133632122783388,0.893693481689985,NA
"ENSMUSG00000118764",0.161333355480756,1.68634114766444,4.36900471240345,0.385978331146445,0.699512716909531,NA
"ENSMUSG00000112599",0.278985030273802,-2.63841195186875,4.32619349099129,-0.609869151105443,0.541948489174615,NA
